"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Render Speechless","WB","C","71878","7.22","10244","9.76","25643","40.1%","57.9%","4286","57.0%","6549","59.4%","10835","58.4%","14601","57.4%","1.0pp"
"Fields of Strife","","C","80075","6.16","15333","8.46","69566","73.0%","57.1%","13035","58.9%","18346","58.0%","31381","58.4%","37727","56.1%","2.3pp"
"Cyclonic Rift","U","M","481","","264","","1502","90.0%","56.3%","261","","418","","679","58.3%","788","53.6%","4.8pp"
"Dreamroot Cascade","","R","9593","3.69","2031","4.90","9640","77.3%","55.5%","1822","57.4%","2517","59.0%","4339","58.3%","5058","53.0%","5.3pp"
"Expressive Iteration","UR","R","1761","3.35","500","4.00","2603","82.9%","55.8%","478","","752","59.8%","1230","58.3%","1298","52.9%","5.4pp"
"Last Gasp","B","C","45604","3.83","10355","4.83","58035","89.0%","56.8%","10029","56.8%","14585","59.2%","24614","58.2%","32935","55.7%","2.5pp"
"Garrison Excavator","R","U","22431","4.72","5066","5.70","24003","74.4%","58.2%","4079","57.0%","6489","58.9%","10568","58.2%","13432","58.2%","0.0pp"
"Bitter Triumph","B","U","13764","2.85","4176","3.34","23634","90.6%","56.2%","4164","56.0%","6130","59.6%","10294","58.2%","13128","54.4%","3.7pp"
"Imperious Inkmage","WB","C","69031","6.69","9393","9.22","32574","55.6%","57.7%","5573","58.2%","7950","58.1%","13523","58.1%","18947","57.3%","0.8pp"
"Charging Strifeknight","R","U","23099","4.63","5195","5.75","26289","80.7%","57.3%","4622","57.8%","7306","58.3%","11928","58.1%","14203","56.5%","1.6pp"
"Sundown Pass","","R","10263","3.93","2175","5.19","10090","75.6%","56.4%","1884","57.3%","2688","58.6%","4572","58.1%","5431","55.0%","3.1pp"
"Group Project","W","U","21548","4.44","5445","5.27","28275","82.4%","58.1%","5159","58.1%","6969","58.0%","12128","58.1%","16120","58.2%","-0.1pp"
"Inkshape Demonstrator","W","U","21728","4.54","4307","5.62","20378","75.2%","57.5%","3436","58.1%","5231","58.0%","8667","58.0%","11654","57.1%","0.9pp"
"Magmablood Archaic","R","R","5374","2.54","2445","2.63","12671","85.7%","55.7%","2191","56.4%","3780","59.0%","5971","58.0%","6551","53.2%","4.8pp"
"Living History","R","U","26879","5.80","5275","7.15","21417","65.3%","57.9%","3729","59.1%","5760","57.2%","9489","58.0%","11885","57.9%","0.1pp"
"Stand Up for Yourself","W","U","20814","4.24","4427","5.22","22840","82.1%","57.6%","3837","55.2%","5923","59.8%","9760","58.0%","12944","57.2%","0.7pp"
"Murmuring Mystic","U","U","701","2.89","255","","1426","91.1%","56.2%","259","","447","","706","57.9%","672","54.6%","3.3pp"
