"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"I Am Iron Man","U","C","209789","7.05","31614","10.00","71019","35.5%","54.6%","11850","52.9%","19546","57.2%","31396","55.6%","39642","53.8%","1.8pp"
"Iron Lad, Diverging Destiny","U","U","58610","4.36","10693","5.78","47520","70.8%","54.3%","8307","54.2%","12983","55.6%","21290","55.0%","26309","53.6%","1.4pp"
"Ironheart, Clever Champion","U","R","21232","3.86","3970","4.88","14979","61.3%","52.0%","2521","50.5%","4249","54.3%","6770","52.9%","8290","51.3%","1.6pp"
"Justice, Vance Astrovik","U","U","33572","2.55","18049","2.74","112190","94.1%","59.1%","19722","61.5%","32155","64.1%","51877","63.1%","60359","55.6%","7.5pp"
"Kang the Conqueror","U","M","3982","1.56","2845","1.54","16953","92.9%","57.3%","2913","56.5%","5040","64.2%","7953","61.4%","9139","53.7%","7.7pp"
"Kid Loki","U","U","67546","4.99","10595","7.03","37111","56.5%","53.0%","6502","54.4%","10610","53.5%","17112","53.8%","20003","52.2%","1.6pp"
"Leader, Super-Genius","U","R","8691","1.66","6699","1.63","42060","94.9%","59.7%","7299","67.4%","12437","68.0%","19736","67.8%","22684","52.9%","14.9pp"
"Loki, God of Mischief","U","R","11325","2.12","5819","2.16","33444","89.8%","56.3%","6038","58.9%","9258","58.7%","15296","58.8%","18279","54.3%","4.5pp"
"Mister Fantastic, Reed Richards","U","U","75884","5.92","11010","8.40","24243","35.1%","52.9%","4191","50.8%","6689","54.1%","10880","52.8%","13452","53.0%","-0.2pp"
"Ms. Marvel, Kamala Khan","U","R","19496","3.52","4387","4.22","15526","56.1%","54.1%","2729","56.1%","4345","54.6%","7074","55.1%","8504","53.1%","2.1pp"
"Multiversal Incursion","U","M","8752","3.24","2282","3.70","8794","64.2%","50.7%","1459","47.7%","2418","53.7%","3877","51.4%","4922","50.1%","1.4pp"
"Namor the Sub-Mariner","U","M","6889","2.67","2374","2.80","10359","70.0%","54.1%","1767","54.6%","2952","57.4%","4719","56.3%","5712","52.1%","4.3pp"
"Pym Particles","U","U","78891","6.10","10161","9.05","21390","33.8%","51.3%","3599","48.2%","5632","54.6%","9231","52.1%","12165","50.6%","1.5pp"
"Rewrite History","U","U","82875","6.77","10283","10.00","10068","15.8%","50.1%","1725","45.4%","2807","49.8%","4532","48.1%","5528","51.6%","-3.5pp"
"Secret Invasion","U","R","12106","2.26","6047","2.35","34835","89.9%","56.7%","5883","54.3%","9892","62.4%","15775","59.4%","19067","54.5%","4.9pp"
"S.H.I.E.L.D. Deployment Drone","U","C","131269","3.79","43749","4.62","260569","91.7%","57.9%","46005","58.8%","73779","60.4%","119784","59.8%","140933","56.3%","3.5pp"
"S.H.I.E.L.D. Flying Car","U","R","12846","2.35","6520","2.47","37404","90.5%","56.4%","6370","56.5%","10524","60.7%","16894","59.1%","20504","54.1%","5.0pp"
"Shuri, Wakandan Inventor","U","U","69150","5.23","11467","7.20","41963","58.0%","54.4%","7556","56.7%","11166","54.2%","18722","55.2%","23235","53.7%","1.5pp"
"Stature, Size Shifter","U","U","56690","4.12","16579","4.90","89838","83.9%","57.6%","16079","59.3%","25054","59.1%","41133","59.2%","48805","56.4%","2.8pp"
"Super Intelligence","U","U","65849","5.02","7969","7.49","23209","48.0%","51.2%","4000","52.1%","6328","52.7%","10328","52.4%","12887","50.2%","2.2pp"
"Super Suit","U","C","208284","7.03","26953","10.31","50323","29.7%","54.1%","8555","53.8%","13653","56.5%","22208","55.5%","28099","53.0%","2.4pp"
"Thirst for Knowledge","U","U","80097","6.31","9926","9.35","17568","28.4%","51.3%","2989","47.9%","4716","53.7%","7705","51.5%","9866","51.1%","0.3pp"
"Tony Stark","U","M","5432","2.13","2718","2.07","14495","84.7%","55.7%","2578","58.8%","4153","61.1%","6731","60.2%","7827","51.9%","8.4pp"
"Trickster's Stratagem","U","C","145409","4.23","45484","5.16","265859","89.6%","58.1%","44577","57.5%","76132","62.3%","120709","60.5%","145205","56.2%","4.4pp"
"We Say Thee Nay!","U","C","153828","4.44","41250","5.64","230756","86.9%","57.4%","40626","59.2%","64201","59.6%","104827","59.4%","125939","55.7%","3.7pp"
"Wiccan, Rising Magician","U","U","63141","4.56","11900","6.19","52656","69.9%","55.3%","8645","52.3%","15474","57.2%","24119","55.4%","28872","55.1%","0.4pp"
"The Wondrous Wasp","U","R","10343","1.90","6533","1.93","40375","94.0%","58.8%","7240","62.2%","11341","63.9%","18581","63.2%","21858","55.1%","8.1pp"
