"card_name","colors","rarity","cgb_raw","cgb_zscore","ds_raw","ds_zscore","llu_a_raw","llu_a_zscore","llu_m_raw","llu_m_zscore","cfb_raw","cfb_zscore","average_zscore","expert_count"
"Divergent Equation","U","uncommon","2","-1.013","2","-1.076","3","-0.76","3","-0.572","1","-1.7585","-1.036","5"
"Rancorous Archaic","","common","2","-1.013","2","-1.076","3","-0.76","3","-0.572","3","0.0595","-0.672","5"
"Textbook Tabulator","U","common","2","-1.013","2","-1.076","3","-0.76","3","-0.572","2","-0.8495","-0.854","5"
"""Adrix and Nev, Twincasters""","G|U","mythic","0","-1.816","1","-1.472","0","-2.472","0","-2.181","3.5","0.514","-1.485","5"
"Bulk Up","R","uncommon","3","-0.611","1","-1.472","2","-1.331","2","-1.108","","","-1.131","5"
"Deflecting Palm","R|W","rare","1","-1.414","1","-1.472","0","-2.472","0","-2.181","","","-1.885","5"
"Empty the Warrens","R","common","3","-0.611","1","-1.472","3","-0.76","2","-1.108","","","-0.988","5"
"Flusterstorm","U","rare","1","-1.414","1","-1.472","","","","","","","-1.443","5"
"Force of Will","U","mythic","3","-0.611","1","-1.472","4","-0.189","3","-0.572","","","-0.711","5"
"Fracture","B|W","uncommon","1","-1.414","1","-1.472","","","","","","","-1.443","5"
"Smallpox","B","uncommon","1","-1.414","1","-1.472","0","-2.472","0","-2.181","","","-1.885","5"
